LexToken(KW_VOID,'void',7,248)
LexToken(ID,'main',7,253)
LexToken(DEL_LPAREN,'(',7,257)
LexToken(DEL_RPAREN,')',7,258)
LexToken(DEL_LBRACE,'{',7,260)
LexToken(KW_VAR,'var',8,264)
LexToken(ID,'x',8,268)
LexToken(OP_ASSIGN,'=',8,270)
LexToken(VAL_INT,10,8,272)
LexToken(DEL_SEMICOLON,';',8,274)
LexToken(KW_FINAL,'final',9,278)
LexToken(DT_INT,'int',9,284)
LexToken(ID,'constanteEntera',9,288)
LexToken(OP_ASSIGN,'=',9,304)
LexToken(VAL_INT,42,9,306)
LexToken(DEL_SEMICOLON,';',9,308)
LexToken(KW_CONST,'const',10,312)
LexToken(DT_BOOL,'bool',10,318)
LexToken(ID,'esVerdad',10,323)
LexToken(OP_ASSIGN,'=',10,332)
LexToken(KW_TRUE,'true',10,334)
LexToken(DEL_SEMICOLON,';',10,338)
LexToken(DT_BOOL,'bool',11,342)
LexToken(ID,'esFalso',11,347)
LexToken(OP_ASSIGN,'=',11,355)
LexToken(KW_FALSE,'false',11,357)
LexToken(DEL_SEMICOLON,';',11,362)
LexToken(DT_MAP,'Map',12,366)
LexToken(OP_LESS,'<',12,369)
LexToken(DT_STRING,'String',12,370)
LexToken(DEL_COMMA,',',12,376)
LexToken(DT_INT,'int',12,378)
LexToken(OP_GREATHER,'>',12,381)
LexToken(OP_NULLABLE,'?',12,382)
LexToken(ID,'miMapa',12,384)
LexToken(DEL_SEMICOLON,';',12,390)
LexToken(KW_IF,'if',14,397)
LexToken(DEL_LPAREN,'(',14,400)
LexToken(ID,'esVerdad',14,401)
LexToken(DEL_RPAREN,')',14,409)
LexToken(DEL_LBRACE,'{',14,411)
LexToken(KW_PRINT,'print',15,417)
LexToken(DEL_LPAREN,'(',15,422)
LexToken(ID,'x',15,423)
LexToken(DEL_RPAREN,')',15,424)
LexToken(DEL_SEMICOLON,';',15,425)
LexToken(DEL_RBRACE,'}',16,429)
LexToken(KW_ELSE,'else',16,431)
LexToken(DEL_LBRACE,'{',16,436)
LexToken(KW_PRINT,'print',17,442)
LexToken(DEL_LPAREN,'(',17,447)
LexToken(VAL_INT,0,17,448)
LexToken(DEL_RPAREN,')',17,449)
LexToken(DEL_SEMICOLON,';',17,450)
LexToken(DEL_RBRACE,'}',18,454)
LexToken(KW_FOR,'for',20,461)
LexToken(DEL_LPAREN,'(',20,465)
LexToken(DT_INT,'int',20,466)
LexToken(ID,'i',20,470)
LexToken(OP_ASSIGN,'=',20,472)
LexToken(VAL_INT,0,20,474)
LexToken(DEL_SEMICOLON,';',20,475)
LexToken(ID,'i',20,477)
LexToken(OP_LESS,'<',20,479)
LexToken(VAL_INT,5,20,481)
LexToken(DEL_SEMICOLON,';',20,482)
LexToken(ID,'i',20,484)
LexToken(OP_ASSIGN,'=',20,486)
LexToken(ID,'i',20,488)
LexToken(OP_ARITHMETIC,'+',20,490)
LexToken(VAL_INT,1,20,492)
LexToken(DEL_RPAREN,')',20,493)
LexToken(DEL_LBRACE,'{',20,495)
LexToken(KW_WHILE,'while',21,501)
LexToken(DEL_LPAREN,'(',21,507)
LexToken(ID,'x',21,508)
LexToken(OP_GREATHER,'>',21,510)
LexToken(VAL_INT,0,21,512)
LexToken(DEL_RPAREN,')',21,513)
LexToken(DEL_LBRACE,'{',21,515)
LexToken(KW_BREAK,'break',22,523)
LexToken(DEL_SEMICOLON,';',22,528)
LexToken(DEL_RBRACE,'}',23,534)
LexToken(DEL_RBRACE,'}',24,538)
LexToken(KW_SWITCH,'switch',26,545)
LexToken(DEL_LPAREN,'(',26,552)
LexToken(ID,'x',26,553)
LexToken(DEL_RPAREN,')',26,554)
LexToken(DEL_LBRACE,'{',26,556)
LexToken(DEL_RBRACE,'}',28,573)
LexToken(KW_RETURN,'return',30,580)
LexToken(DEL_SEMICOLON,';',30,586)
LexToken(DEL_RBRACE,'}',31,588)
Caracter ilegal: '¨' en la linea 32

